,Team,Number,Position,Age,Height,Weight,College,Salary,Firstname,Lastname
0,Boston Celtics,0,PG,25,6-2,180.0,Texas,7730337.0,Avery,Bradley
1,Boston Celtics,99,SF,25,6-6,235.0,Marquette,6796117.0,Jae,Crowder
3,Boston Celtics,28,SG,22,6-5,185.0,Georgia State,1148640.0,R.J.,Hunter
6,Boston Celtics,55,PF,21,6-8,235.0,LSU,1170960.0,Jordan,Mickey
7,Boston Celtics,41,C,25,7-0,238.0,Gonzaga,2165160.0,Kelly,Olynyk
8,Boston Celtics,12,PG,22,6-2,190.0,Louisville,1824360.0,Terry,Rozier
9,Boston Celtics,36,PG,22,6-4,220.0,Oklahoma State,3431040.0,Marcus,Smart
10,Boston Celtics,7,C,24,6-9,260.0,Ohio State,2569260.0,Jared,Sullinger
11,Boston Celtics,4,PG,27,5-9,185.0,Washington,6912869.0,Isaiah,Thomas
12,Boston Celtics,11,SG,27,6-7,220.0,Ohio State,3425510.0,Evan,Turner
13,Boston Celtics,13,SG,20,6-6,215.0,Kentucky,1749840.0,James,Young
14,Boston Celtics,44,C,26,7-0,253.0,North Carolina,2616975.0,Tyler,Zeller
16,Brooklyn Nets,22,SG,24,6-3,190.0,Oklahoma State,845059.0,Markel,Brown
17,Brooklyn Nets,21,SG,28,6-4,200.0,North Carolina,1500000.0,Wayne,Ellington
18,Brooklyn Nets,24,SG,21,6-7,220.0,Arizona,1335480.0,Rondae,Hollis-Jefferson
19,Brooklyn Nets,2,PG,32,6-3,200.0,Georgia Tech,6300000.0,Jarrett,Jack
21,Brooklyn Nets,6,SG,26,6-4,219.0,Cincinnati,134215.0,Sean,Kilpatrick
22,Brooklyn Nets,0,PG,23,5-11,175.0,Miami (FL),1500000.0,Shane,Larkin
23,Brooklyn Nets,11,C,28,7-0,275.0,Stanford,19689000.0,Brook,Lopez
24,Brooklyn Nets,1,PF,21,6-11,200.0,Syracuse,1140240.0,Chris,McCullough
25,Brooklyn Nets,33,PF,26,6-10,220.0,Saint Louis,947276.0,Willie,Reed
26,Brooklyn Nets,41,PF,25,6-10,237.0,Kansas,981348.0,Thomas,Robinson
27,Brooklyn Nets,14,C,26,6-10,248.0,Georgetown,947276.0,Henry,Sims
28,Brooklyn Nets,15,PG,28,6-3,205.0,Texas A&M,947276.0,Donald,Sloan
29,Brooklyn Nets,30,PF,27,6-8,221.0,Georgia Tech,11235955.0,Thaddeus,Young
30,New York Knicks,4,SG,30,6-5,210.0,UCLA,8000000.0,Arron,Afflalo
31,New York Knicks,17,PF,33,6-9,220.0,UNLV,1635476.0,Lou,Amundson
33,New York Knicks,7,SF,32,6-8,240.0,Syracuse,22875000.0,Carmelo,Anthony
35,New York Knicks,11,SF,25,6-8,210.0,Wichita State,845059.0,Cleanthony,Early
36,New York Knicks,2,SG,24,6-2,200.0,Saint Joseph's,845059.0,Langston,Galloway
37,New York Knicks,13,PG,23,6-4,195.0,Notre Dame,1572360.0,Jerian,Grant
38,New York Knicks,8,C,28,7-0,255.0,Stanford,12650000.0,Robin,Lopez
